Hettinger,Raymond,VP Raisin Smushing,raymond@example.com,559-555-1212
Thomas,Mary, Sr. Associate Raisin Design,mary@example.com,559-555-2300
Davis,Harold,Chief Raisin Picker,harold@example.com,559-555-2318
Masterson,Martin,Asst Raisin Smusher,martin@example.com,559-555-2348
James,David,VP Grape Ager,david@example.com,559-555-2379
Zapata,Luis,VP Grape Sales,luis@example.com,559-555-2301
Gunter,Fritz,Grape Smusher,fritz@example.com,559-555-2379
Pichon,Esmerelda,Head Raisin Counter,esmerelda@example.com,559-555-2397
Blain,Marilyn,Raisin Packager,marilyn@example.com,559-555-2379
Marks,Blair,Vp Investor Relations,blair@example.com,559-555-6513
Jones,David,Transport Specialist,djones@example.com,559-555-1894
Davis,Harold,Quality Assurance Tech,hdavis@example.com,559-555-1478
Schmidt,Gertrude,VP Business Development,gertrude@example.com,559-555-6700
